ingredient_key,what_is_it,why_used,fun_fact,risk_label_human,health_impact_human,risk_label_dog,health_impact_dog,risk_label_cat,health_impact_cat,source
ammonium_alginate,"A derivative of alginic acid from seaweed.","It is used as a stabilizer in foods.","It helps maintain texture and consistency.","safe","Generally safe and widely used.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
potassium_alginate,"A thickener derived from seaweed.","It is used to create gels and stabilize foods.","It is often used in modern food techniques.","safe","Generally safe and naturally derived.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
sodium_alginate,"A seaweed-based thickener.","It forms gels when combined with calcium.","It is widely used in molecular gastronomy.","safe","Generally safe and widely used.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
alginic_acid,"A natural substance from seaweed.","It is used to thicken and stabilize foods.","It helps improve texture in products like ice cream.","safe","Generally safe and naturally derived.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
rosemary_extract,"A plant extract from rosemary.","It is used as a natural antioxidant to keep food fresh.","It helps prevent oils from going rancid.","safe","Generally safe and often seen as a natural alternative to synthetic preservatives.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
calcium_disodium_edta,"A compound that binds metals in food.","It helps preserve color, flavor, and stability.","It is often used in canned and processed foods.","caution","Approved in small amounts, but clearly a processing additive.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
triammonium_citrate,"A salt derived from citric acid.","It is used to regulate acidity in foods.","It helps balance taste and stability.","safe","Generally safe and widely used.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
succinic_acid,"An organic acid found naturally in plants.","It adds a mild sour taste to foods.","It also occurs naturally in the body.","safe","Generally safe and naturally occurring.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
potassium_adipate,"A salt used to control acidity.","It helps balance flavor in food products.","It is commonly used in drinks and powdered foods.","safe","Generally safe and used in controlled amounts.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
sodium_adipate,"A salt of adipic acid used in food.","It helps regulate acidity and taste.","It is often used in powdered drink mixes.","safe","Generally safe and widely used.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
adipic_acid,"A synthetic acid used to add sour taste.","It helps control acidity in processed foods.","It is commonly used in powdered and flavored products.","caution","Approved, but considered a more processed additive.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
calcium_tartrate,"A mineral salt derived from tartaric acid.","It is used to regulate acidity and improve texture in foods.","It occurs naturally in grapes and wine.","safe","Generally safe and naturally occurring.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
metatartaric_acid,"A modified form of tartaric acid.","It helps prevent crystals from forming in products like wine.","It is commonly used to keep liquids smooth and stable.","safe","Generally safe and used in controlled amounts.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
calcium_malate,"A salt of malic acid found in fruits.","It is used to regulate acidity in foods.","It contributes to a mild, pleasant tart taste.","safe","Generally safe and naturally related to fruit acids.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
potassium_malate,"A potassium salt of malic acid.","It helps balance acidity and flavor in foods.","It is commonly used in beverages.","safe","Generally safe and widely used.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
sodium_malate,"A sodium salt of malic acid.","It is used to regulate acidity and improve taste.","It is often used in drinks and processed foods.","safe","Generally safe and commonly used.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
magnesium_phosphate,"A mineral salt used in food.","It helps regulate acidity and stabilize products.","It can also contribute magnesium to the diet.","safe","Generally safe and sometimes nutritionally beneficial.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
tricalcium_phosphate,"A calcium-based mineral salt.","It is used to prevent clumping and add calcium.","It is often found in powdered foods.","safe","Generally safe and can support calcium intake.","safe","Safe for dogs and may support bone health.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
potassium_phosphate,"A group of mineral salts used in food.","They help regulate acidity and stabilize products.","They are widely used in processed foods.","safe","Generally safe in moderate amounts.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
sodium_phosphate,"A group of phosphate salts used in food.","They help control acidity and improve texture.","High intake is sometimes discussed in nutrition.","caution","Generally safe, but high consumption may be a concern.","caution","Safe for dogs in small amounts, but not needed.","caution","Safe for cats in small amounts and not beneficial.","HealthyWhooo profile v1"
phosphoric_acid,"A mineral acid used in food and drinks.","It adds a sharp, tangy taste.","It is especially common in cola drinks.","caution","Approved, but often limited in highly processed beverages.","caution","Safe for dogs in small amounts, but unnecessary.","caution","Safe for cats in small amounts and not beneficial.","HealthyWhooo profile v1"
sodium_potassium_tartrate,"A salt derived from tartaric acid.","It is used to regulate acidity in food.","It is also known as Rochelle salt and linked to grapes and wine.","safe","Generally safe and naturally related to fruit acids.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
potassium_tartrate,"A potassium salt of tartaric acid.","It helps control acidity and is used in baking.","It is commonly associated with wine production.","safe","Generally safe and naturally derived.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","HealthyWhooo profile v1"
